customer_id,customer_name,segment,total_orders,total_spend,total_profit,profit_margin_pct,profit_rank
TC-20980,Tamara Chand,Corporate,28,34218.27,8787.47,25.68,1
RB-19360,Raymond Buch,Consumer,25,29197.63,8523.95,29.19,2
SC-20095,Sanjit Chand,Consumer,28,25602.61,8106.22,31.66,3
BE-11335,Bill Eplett,Home Office,37,27158.02,7790.7,28.69,4
HL-15040,Hunter Lopez,Consumer,20,29664.23,7657.5,25.81,5
AB-10105,Adrian Barton,Consumer,33,22966.78,6912.61,30.1,6
SP-20920,Susan Pistek,Consumer,28,28124.21,6649.63,23.64,7
HM-14860,Harry Marie,Corporate,37,27434.17,6544.89,23.86,8
TA-21385,Tom Ashbrook,Home Office,25,35668.12,6274.99,17.59,9
SE-20110,Sanjit Engle,Consumer,36,29532.63,5863.62,19.85,10
